Scenario,Alpha Bus,Gap %Δ,80-100 TW %Δ,40-59 TW %Δ,0-20 TW %Δ,Gap Elasticity
alphaBus3%,0.03,-21.33293406498124,-3.1376175122388563,-1.081725774578699,-0.4784831337717687,0.21992715530908497
alphaBus4%,0.04,12.21165374577181,3.4142548555974166,1.3142091435618548,0.7892801986434164,-0.12720472651845638
