Scenario,Large Cap Blend,Gap %Δ,80-100 TW %Δ,40-59 TW %Δ,0-20 TW %Δ,Gap Elasticity
SmallCapHeavy,0.25,68.76809160993335,14.3102798202165,5.14158931587329,2.7903567462537646,-0.9169078881324447
LargeCapHeavy,0.75,-34.05030649004836,-5.619680817377211,-2.004972494181697,-0.967146250424192,1.3620122596019342
