Scenario,Degrees of Freedom,Gap %Δ,80-100 TW %Δ,40-59 TW %Δ,0-20 TW %Δ,Gap Elasticity
df3,3.0,-3.982490407392995,-0.08654380827107586,-0.357227285024613,-0.37197587790972125,-0.019912452036964977
df8,8.0,-4.497935850600894,-0.2348040533282828,-0.2651606500758704,-0.22328989990583178,-0.006425622643715563
df15,15.0,-4.832034040844477,0.4369540495435505,0.4558182100288608,0.5103939428301674,-0.003451452886317484
df30,30.0,-3.5773043341098605,0.21829970390857067,0.0734523090961197,0.11052021486040575,-0.0012335532186585727
df1000,1000.0,-5.330429958742835,0.14379869547221175,0.1213054140420135,0.19740260756524572,-5.3357657244673024e-05
