Scenario,Global Scalar,Gap %Δ,80-100 TW %Δ,40-59 TW %Δ,0-20 TW %Δ,Gap Elasticity
globalLower20,0.8,-4.1381770796344926,-0.0339293171130103,-0.18497556958766656,-0.22408932139447707,0.20690885398172468
globalLower10,0.9,-4.200415886413624,-0.02689087425170119,-0.14781241425469696,-0.1752372928360639,0.4200415886413625
globalLower5,0.95,-4.186997560746856,-0.017045821111496134,-0.123078671190237,-0.14449595248666672,0.8373995121493705
globalHigher5,1.05,-4.172541431997778,-0.18991387767878565,-0.2800505166740978,-0.3018563335741215,-0.8345082863995548
globalHigher10,1.1,-4.1715935753101,-0.3463913780349095,-0.43371223199316494,-0.4576257890617813,-0.41715935753100963
globalHigher20,1.2,-4.246441269412939,-0.5918689314552644,-0.6691882020949467,-0.6898310232335643,-0.21232206347064697
