Scenario,Vol Scalar,Gap %Δ,80-100 TW %Δ,40-59 TW %Δ,0-20 TW %Δ,Gap Elasticity
LowerVolatility10,0.9,-27.27027225259683,-4.555028725410301,-1.8750097274996393,-1.074212753138966,2.7270272252596834
HigherVolatility10,1.1,22.515590668727363,5.211440119520678,1.9053994553447136,0.9702053351676168,2.2515590668727343
